id,sentiment,response_err_cnt
"12311_10",-1,493
"8348_2",-1,493
"5828_4",-1,493
"7186_2",-1,493
"12128_7",-1,493
"2913_8",-1,493
"4396_1",-1,493
"395_2",-1,493
"10616_1",-1,493
"9074_9",-1,493
"9252_3",-1,493
"9896_9",-1,493
"574_4",-1,493
"11182_8",-1,493
"11656_4",-1,493
"2322_4",-1,493
"8703_1",-1,493
"7483_1",-1,493
"6007_10",-1,493
"12424_4",-1,493
"4672_1",-1,493
"10841_3",-1,493
"8954_7",-1,493
"7392_1",-1,493
"10288_8",-1,493
"5343_4",-1,493
"4950_1",-1,493
"9257_4",-1,493
"8689_3",-1,493
"4480_2",-1,493
"9286_10",-1,493
"12245_10",-1,493
"7529_7",-1,493
"4_4",-1,493
"5299_2",-1,493
"12077_8",-1,493
"10701_2",-1,493
"11579_1",-1,493
"10993_1",-1,493
"8913_1",-1,493
"1350_3",-1,493
"3804_2",-1,493
"5025_3",-1,493
"5170_8",-1,493
"8225_8",-1,493
"6427_7",-1,493
"3165_3",-1,493
"7902_9",-1,493
"8208_3",-1,493
"3577_8",-1,493
"4865_1",-1,493
"9063_3",-1,493
"1106_1",-1,493
"1117_9",-1,493
"1050_4",-1,493
"10755_9",-1,493
"2729_8",-1,493
"10072_10",-1,493
"2904_7",-1,493
"4584_2",-1,493
"189_4",-1,493
"6302_4",-1,493
"8138_9",-1,493
"1262_1",-1,493
"2199_10",-1,493
"6551_7",-1,493
"8082_7",-1,493
"4897_8",-1,493
"7360_1",-1,493
"11012_10",-1,493
"12046_1",-1,493
"2331_2",-1,493
"8961_9",-1,493
"751_7",-1,493
"9884_10",1,493
"10016_8",-1,493
"8023_10",-1,493
"2628_1",-1,493
"5832_1",-1,493
"7302_1",-1,493
"4501_3",-1,493
"1121_7",-1,493
"8334_3",-1,493
"9789_10",-1,493
"4230_10",-1,493
"824_4",-1,493
"6803_9",-1,493
"3086_7",-1,493
"1135_8",-1,493
"10136_1",-1,493
"11129_3",-1,493
"2072_8",-1,493
"9501_7",-1,493
"319_10",-1,493
"1693_7",-1,493
"10886_1",-1,493
"9406_8",-1,493
"10376_10",-1,493
"9902_1",-1,493
"9938_8",-1,493
"7080_9",-1,493
"11944_8",-1,493
"5249_1",-1,493
"9599_2",-1,493
"9620_1",-1,493
"11244_1",-1,493
"6841_10",-1,493
"10050_4",0,493
"10512_9",-1,493
"11327_3",-1,493
"10681_8",-1,493
"808_3",-1,493
"546_7",-1,493
"10765_1",-1,493
"7189_9",-1,493
"6005_9",-1,493
"11915_9",-1,493
