id,sentiment,response_err_cnt
"12311_10",1,222
"8348_2",-1,222
"5828_4",-1,222
"7186_2",0,222
"12128_7",1,222
"2913_8",1,222
"4396_1",0,222
"395_2",0,222
"10616_1",-1,222
"9074_9",-1,222
"9252_3",0,222
"9896_9",1,222
"574_4",0,222
"11182_8",1,222
"11656_4",0,222
"2322_4",-1,222
"8703_1",0,222
"7483_1",0,222
"6007_10",1,222
"12424_4",-1,222
"4672_1",-1,222
"10841_3",0,222
"8954_7",-1,222
"7392_1",0,222
"10288_8",1,222
"5343_4",-1,222
"4950_1",0,222
"9257_4",-1,222
"8689_3",0,222
"4480_2",0,222
"9286_10",1,222
"12245_10",1,222
"7529_7",1,222
"4_4",0,222
"5299_2",0,222
"12077_8",-1,222
"10701_2",0,222
"11579_1",1,222
"10993_1",0,222
"8913_1",-1,222
"1350_3",1,222
"3804_2",-1,222
"5025_3",-1,222
"5170_8",-1,222
"8225_8",-1,222
"6427_7",1,222
"3165_3",-1,222
"7902_9",-1,222
"8208_3",0,222
"3577_8",-1,222
"4865_1",-1,222
"9063_3",-1,222
"1106_1",-1,222
"1117_9",-1,222
"1050_4",-1,222
"10755_9",-1,222
"2729_8",1,222
"10072_10",-1,222
"2904_7",-1,222
"4584_2",-1,222
"189_4",-1,222
"6302_4",0,222
"8138_9",1,222
"1262_1",0,222
"2199_10",-1,222
"6551_7",0,222
"8082_7",1,222
"4897_8",1,222
"7360_1",0,222
"11012_10",1,222
"12046_1",0,222
"2331_2",0,222
"8961_9",1,222
"751_7",-1,222
"9884_10",1,222
"10016_8",1,222
"8023_10",-1,222
"2628_1",0,222
"5832_1",-1,222
"7302_1",0,222
"4501_3",1,222
"1121_7",1,222
"8334_3",-1,222
"9789_10",1,222
"4230_10",1,222
"824_4",0,222
"6803_9",-1,222
"3086_7",-1,222
"1135_8",-1,222
"10136_1",-1,222
"11129_3",0,222
"2072_8",0,222
"9501_7",1,222
"319_10",-1,222
"1693_7",-1,222
"10886_1",-1,222
"9406_8",1,222
"10376_10",-1,222
"9902_1",-1,222
"9938_8",0,222
"7080_9",-1,222
"11944_8",-1,222
"5249_1",0,222
"9599_2",-1,222
"9620_1",0,222
"11244_1",-1,222
"6841_10",1,222
"10050_4",0,222
"10512_9",-1,222
"11327_3",0,222
"10681_8",-1,222
"808_3",-1,222
"546_7",1,222
"10765_1",0,222
"7189_9",1,222
"6005_9",1,222
"11915_9",1,222
"5740_10",-1,222
"7097_10",1,222
"9573_10",1,222
"5084_4",0,222
"12332_7",-1,222
"8154_1",0,222
"5610_1",-1,222
"5323_9",-1,222
"11034_8",1,222
"3977_2",-1,222
"12380_7",1,222
"1737_8",-1,222
"6030_9",1,222
"5918_7",-1,222
"7061_9",1,222
"266_8",1,222
"1375_10",1,222
"8648_3",-1,222
"10146_10",1,222
"4578_10",-1,222
"4685_8",1,222
"11843_9",-1,222
"5467_10",-1,222
"10140_10",1,222
"7721_8",-1,222
"11208_10",-1,222
"1063_10",1,222
"8260_10",-1,222
"3182_9",-1,222
"2797_8",1,222
"7613_2",0,222
"11624_4",0,222
"4847_10",1,222
"10684_7",1,222
"6312_1",-1,222
"4925_3",-1,222
"4125_1",0,222
"2394_10",-1,222
"12105_10",-1,222
"7812_1",0,222
"1061_8",1,222
"9343_3",0,222
