id,sentiment,true_label,accuracy
0,0.0,0,29.4375
1,0.0,0,
2,1.0,1,
3,1.0,0,
4,0.0,0,
5,0.0,0,
6,1.0,1,
7,1.0,1,
8,0.0,0,
9,1.0,1,
10,0.0,0,
11,0.0,0,
12,0.0,0,
13,0.0,0,
14,0.0,0,
15,1.0,1,
16,0.0,0,
17,1.0,1,
18,0.0,0,
19,1.0,1,
20,1.0,1,
21,0.0,1,
22,1.0,1,
23,1.0,1,
24,0.0,0,
25,1.0,1,
26,0.0,0,
27,0.0,1,
28,1.0,1,
29,0.0,0,
30,0.0,0,
31,1.0,1,
32,0.0,0,
33,0.0,0,
34,0.0,0,
35,1.0,1,
36,1.0,1,
37,1.0,1,
38,0.0,0,
39,,1,
40,1.0,0,
41,0.0,0,
42,0.0,0,
43,1.0,1,
44,0.0,0,
45,1.0,1,
46,0.0,1,
47,0.0,0,
48,1.0,1,
49,0.0,0,
50,0.0,0,
51,1.0,1,
52,0.0,0,
53,1.0,1,
54,0.0,0,
55,0.0,0,
56,0.0,0,
57,1.0,1,
58,1.0,1,
59,0.0,0,
60,1.0,1,
61,0.0,0,
62,0.0,0,
63,0.0,0,
64,0.0,0,
65,1.0,1,
66,0.0,0,
67,0.0,0,
68,0.0,0,
69,1.0,1,
70,0.0,0,
71,0.0,0,
72,1.0,1,
73,0.0,0,
74,0.0,0,
75,1.0,1,
76,0.0,0,
77,0.0,0,
78,0.0,0,
79,1.0,1,
80,1.0,1,
81,0.0,1,
82,1.0,1,
83,1.0,1,
84,1.0,1,
85,0.0,0,
86,1.0,1,
87,1.0,1,
88,1.0,1,
89,1.0,1,
90,0.0,0,
91,1.0,1,
92,0.0,0,
93,1.0,1,
94,1.0,1,
95,1.0,1,
96,0.0,0,
97,1.0,1,
98,1.0,1,
99,1.0,1,
100,1.0,1,
101,1.0,1,
102,0.0,0,
103,1.0,1,
104,0.0,0,
105,1.0,1,
106,0.0,0,
107,0.0,0,
108,1.0,1,
109,1.0,1,
110,0.0,0,
111,0.0,1,
112,1.0,1,
113,1.0,1,
114,0.0,0,
115,0.0,0,
116,0.0,0,
117,0.0,0,
118,1.0,1,
119,0.0,0,
120,1.0,1,
121,0.0,0,
122,0.0,0,
123,0.0,0,
124,,1,
125,0.0,0,
126,1.0,1,
127,1.0,1,
128,1.0,1,
129,0.0,0,
130,1.0,1,
131,0.0,0,
132,1.0,1,
133,0.0,0,
134,0.0,0,
135,1.0,1,
136,1.0,1,
137,1.0,1,
138,0.0,0,
139,0.0,0,
140,1.0,1,
141,1.0,1,
142,1.0,1,
143,0.0,0,
144,0.0,0,
145,1.0,1,
146,0.0,0,
147,1.0,1,
148,0.0,0,
149,1.0,1,
150,1.0,1,
151,0.0,0,
152,1.0,1,
153,1.0,1,
154,0.0,0,
155,0.0,0,
156,1.0,1,
157,1.0,1,
158,1.0,1,
159,0.0,0,
160,1.0,1,
161,0.0,0,
162,0.0,0,
163,0.0,1,
164,1.0,1,
165,0.0,0,
166,1.0,1,
167,0.0,1,
168,0.0,1,
169,0.0,0,
170,1.0,1,
171,1.0,1,
172,0.0,1,
173,0.0,0,
174,1.0,1,
175,0.0,0,
176,1.0,1,
177,1.0,1,
