id,sentiment,response_err_cnt
"12311_10",1,231
"8348_2",-1,231
"5828_4",-1,231
"7186_2",-1,231
"12128_7",-1,231
"2913_8",1,231
"4396_1",-1,231
"395_2",0,231
"10616_1",-1,231
"9074_9",1,231
"9252_3",-1,231
"9896_9",1,231
"574_4",-1,231
"11182_8",1,231
"11656_4",0,231
"2322_4",0,231
"8703_1",-1,231
"7483_1",-1,231
"6007_10",-1,231
"12424_4",0,231
"4672_1",-1,231
"10841_3",1,231
"8954_7",-1,231
"7392_1",-1,231
"10288_8",1,231
"5343_4",0,231
"4950_1",0,231
"9257_4",-1,231
"8689_3",0,231
"4480_2",-1,231
"9286_10",1,231
"12245_10",1,231
"7529_7",1,231
"4_4",0,231
"5299_2",0,231
"12077_8",1,231
"10701_2",-1,231
"11579_1",-1,231
"10993_1",0,231
"8913_1",-1,231
"1350_3",0,231
"3804_2",0,231
"5025_3",1,231
"5170_8",-1,231
"8225_8",1,231
"6427_7",-1,231
"3165_3",0,231
"7902_9",1,231
"8208_3",-1,231
"3577_8",0,231
"4865_1",0,231
"9063_3",-1,231
"1106_1",-1,231
"1117_9",1,231
"1050_4",1,231
"10755_9",1,231
"2729_8",1,231
"10072_10",1,231
"2904_7",-1,231
"4584_2",1,231
"189_4",-1,231
"6302_4",-1,231
"8138_9",0,231
"1262_1",-1,231
"2199_10",0,231
"6551_7",-1,231
"8082_7",1,231
"4897_8",1,231
"7360_1",0,231
"11012_10",-1,231
"12046_1",0,231
"2331_2",0,231
"8961_9",-1,231
"751_7",1,231
"9884_10",1,231
"10016_8",-1,231
"8023_10",1,231
"2628_1",0,231
"5832_1",-1,231
"7302_1",-1,231
"4501_3",1,231
"1121_7",-1,231
"8334_3",-1,231
"9789_10",-1,231
"4230_10",-1,231
"824_4",-1,231
"6803_9",1,231
"3086_7",1,231
"1135_8",1,231
"10136_1",0,231
"11129_3",-1,231
"2072_8",0,231
"9501_7",-1,231
"319_10",-1,231
"1693_7",1,231
"10886_1",-1,231
"9406_8",-1,231
"10376_10",1,231
"9902_1",0,231
"9938_8",-1,231
"7080_9",1,231
"11944_8",-1,231
"5249_1",0,231
"9599_2",0,231
"9620_1",0,231
"11244_1",-1,231
"6841_10",-1,231
"10050_4",-1,231
"10512_9",1,231
"11327_3",-1,231
"10681_8",-1,231
"808_3",0,231
"546_7",-1,231
"10765_1",-1,231
"7189_9",-1,231
"6005_9",1,231
"11915_9",1,231
"5740_10",-1,231
"7097_10",1,231
"9573_10",1,231
"5084_4",-1,231
"12332_7",-1,231
"8154_1",-1,231
"5610_1",0,231
"5323_9",1,231
"11034_8",1,231
"3977_2",0,231
"12380_7",1,231
"1737_8",-1,231
"6030_9",-1,231
"5918_7",1,231
"7061_9",-1,231
"266_8",1,231
"1375_10",1,231
"8648_3",1,231
"10146_10",1,231
"4578_10",1,231
"4685_8",1,231
"11843_9",-1,231
"5467_10",-1,231
"10140_10",1,231
"7721_8",1,231
"11208_10",0,231
"1063_10",1,231
"8260_10",1,231
"3182_9",-1,231
"2797_8",1,231
"7613_2",-1,231
"11624_4",-1,231
"4847_10",-1,231
"10684_7",1,231
"6312_1",0,231
"4925_3",-1,231
"4125_1",-1,231
"2394_10",1,231
"12105_10",1,231
"7812_1",0,231
"1061_8",-1,231
"9343_3",-1,231
"7696_10",1,231
"9355_10",1,231
"782_9",1,231
"9882_10",1,231
"10642_10",-1,231
"7410_2",-1,231
"9591_4",0,231
"11902_3",0,231
"3495_7",-1,231
"6733_1",-1,231
"4552_1",-1,231
"6722_1",-1,231
"188_10",1,231
"5099_10",1,231
"10313_1",-1,231
"6756_9",1,231
"6622_2",-1,231
"4807_10",-1,231
"7173_3",0,231
"11321_8",1,231
"7909_9",-1,231
"8012_7",-1,231
"8615_4",0,231
"8117_10",1,231
"1892_10",1,231
"4617_1",0,231
"1893_8",1,231
"5435_1",0,231
"162_3",0,231
"6516_10",-1,231
"11588_7",1,231
"2006_1",-1,231
"1594_4",0,231
"1472_1",-1,231
"3647_1",-1,231
