id,sentiment,response_err_cnt
"12311_10",1,183
"8348_2",0,183
"5828_4",-1,183
"7186_2",0,183
"12128_7",-1,183
"2913_8",-1,183
"4396_1",-1,183
"395_2",-1,183
"10616_1",0,183
"9074_9",0,183
"9252_3",0,183
"9896_9",1,183
"574_4",-1,183
"11182_8",1,183
"11656_4",0,183
"2322_4",0,183
"8703_1",0,183
"7483_1",0,183
"6007_10",0,183
"12424_4",-1,183
"4672_1",0,183
"10841_3",-1,183
"8954_7",-1,183
"7392_1",0,183
"10288_8",-1,183
"5343_4",0,183
"4950_1",0,183
"9257_4",-1,183
"8689_3",0,183
"4480_2",0,183
"9286_10",1,183
"12245_10",1,183
"7529_7",-1,183
"4_4",0,183
"5299_2",-1,183
"12077_8",-1,183
"10701_2",-1,183
"11579_1",-1,183
"10993_1",0,183
"8913_1",-1,183
"1350_3",-1,183
"3804_2",-1,183
"5025_3",0,183
"5170_8",1,183
"8225_8",1,183
"6427_7",0,183
"3165_3",0,183
"7902_9",-1,183
"8208_3",0,183
"3577_8",0,183
"4865_1",-1,183
"9063_3",0,183
"1106_1",-1,183
"1117_9",1,183
"1050_4",-1,183
"10755_9",-1,183
"2729_8",-1,183
"10072_10",1,183
"2904_7",0,183
"4584_2",0,183
"189_4",0,183
"6302_4",-1,183
"8138_9",-1,183
"1262_1",0,183
"2199_10",0,183
"6551_7",0,183
"8082_7",-1,183
"4897_8",1,183
"7360_1",-1,183
"11012_10",0,183
"12046_1",-1,183
"2331_2",0,183
"8961_9",1,183
"751_7",0,183
"9884_10",-1,183
"10016_8",1,183
"8023_10",-1,183
"2628_1",0,183
"5832_1",0,183
"7302_1",0,183
"4501_3",-1,183
"1121_7",1,183
"8334_3",0,183
"9789_10",1,183
"4230_10",-1,183
"824_4",0,183
"6803_9",-1,183
"3086_7",1,183
"1135_8",1,183
"10136_1",0,183
"11129_3",0,183
"2072_8",-1,183
"9501_7",0,183
"319_10",0,183
"1693_7",1,183
"10886_1",-1,183
"9406_8",1,183
"10376_10",0,183
"9902_1",-1,183
"9938_8",0,183
"7080_9",-1,183
"11944_8",-1,183
"5249_1",0,183
"9599_2",0,183
"9620_1",-1,183
"11244_1",-1,183
"6841_10",1,183
"10050_4",0,183
"10512_9",1,183
"11327_3",0,183
"10681_8",0,183
"808_3",0,183
"546_7",1,183
"10765_1",0,183
"7189_9",1,183
"6005_9",0,183
"11915_9",1,183
"5740_10",1,183
"7097_10",-1,183
"9573_10",1,183
"5084_4",0,183
"12332_7",-1,183
"8154_1",-1,183
"5610_1",0,183
"5323_9",1,183
"11034_8",-1,183
"3977_2",-1,183
"12380_7",0,183
"1737_8",-1,183
"6030_9",1,183
"5918_7",1,183
"7061_9",1,183
"266_8",1,183
"1375_10",1,183
"8648_3",0,183
"10146_10",1,183
"4578_10",1,183
"4685_8",-1,183
"11843_9",1,183
"5467_10",1,183
"10140_10",1,183
"7721_8",1,183
"11208_10",0,183
"1063_10",1,183
"8260_10",-1,183
"3182_9",-1,183
"2797_8",-1,183
"7613_2",0,183
"11624_4",-1,183
"4847_10",1,183
"10684_7",1,183
"6312_1",0,183
"4925_3",0,183
"4125_1",0,183
"2394_10",1,183
"12105_10",1,183
"7812_1",0,183
"1061_8",1,183
"9343_3",-1,183
"7696_10",1,183
"9355_10",1,183
"782_9",1,183
"9882_10",1,183
"10642_10",1,183
"7410_2",0,183
"9591_4",-1,183
"11902_3",-1,183
"3495_7",0,183
"6733_1",0,183
"4552_1",-1,183
"6722_1",0,183
"188_10",1,183
"5099_10",-1,183
"10313_1",-1,183
"6756_9",1,183
"6622_2",-1,183
"4807_10",1,183
"7173_3",0,183
"11321_8",-1,183
"7909_9",0,183
"8012_7",1,183
"8615_4",0,183
"8117_10",-1,183
"1892_10",1,183
"4617_1",-1,183
"1893_8",1,183
"5435_1",-1,183
"162_3",-1,183
"6516_10",-1,183
"11588_7",0,183
"2006_1",0,183
"1594_4",0,183
"1472_1",0,183
"3647_1",0,183
"174_7",1,183
"5539_7",1,183
"3384_10",1,183
"3811_4",0,183
"4079_8",0,183
"1179_7",0,183
"3069_9",1,183
"3769_8",-1,183
"9247_10",-1,183
"10434_1",-1,183
"1147_10",1,183
"5344_7",-1,183
"8073_10",1,183
"7833_3",0,183
"8370_1",-1,183
"9007_8",0,183
"6624_7",0,183
"6683_3",0,183
"12275_7",1,183
"11927_8",1,183
"1560_10",1,183
"1325_9",0,183
"3548_8",0,183
"607_1",0,183
"6702_7",0,183
"5702_3",-1,183
"11345_8",-1,183
"3428_4",0,183
"7209_9",1,183
"8425_8",-1,183
"3087_1",0,183
"1119_8",0,183
"5715_3",-1,183
"8645_1",0,183
"2149_3",-1,183
"10403_10",1,183
"5628_1",0,183
"5570_10",1,183
"1613_3",-1,183
"1454_4",0,183
"5094_3",-1,183
"7982_1",0,183
"6894_2",0,183
"6554_1",0,183
"4721_3",1,183
"6904_4",-1,183
"893_8",1,183
"4605_4",0,183
"11516_7",-1,183
"11718_7",1,183
"5956_1",-1,183
"7455_9",1,183
"6396_4",1,183
"1223_8",-1,183
"8556_1",0,183
"6108_8",0,183
"11690_1",-1,183
"3778_9",-1,183
"3627_4",-1,183
"8256_4",0,183
"533_1",0,183
"5235_4",0,183
"621_2",-1,183
"5365_1",-1,183
"8180_3",-1,183
"7396_7",-1,183
"9776_10",1,183
"8175_10",-1,183
"3128_1",0,183
"4606_1",-1,183
"6158_2",-1,183
"3281_10",0,183
"4723_4",0,183
"11994_3",0,183
"7701_1",0,183
"103_3",-1,183
"8908_10",1,183
"8876_1",0,183
"7519_9",-1,183
"12456_8",0,183
"9514_8",1,183
"8680_8",1,183
"12402_10",-1,183
"362_2",0,183
"9825_7",1,183
"2913_3",-1,183
"7164_8",-1,183
"11177_7",1,183
"5707_10",1,183
"8103_10",-1,183
"6289_1",0,183
"11754_1",-1,183
"11640_10",1,183
"9933_7",0,183
"185_10",-1,183
"242_10",0,183
"9369_8",-1,183
"7453_10",0,183
"7514_7",-1,183
"10860_2",-1,183
"8663_8",-1,183
"9108_1",0,183
"7941_1",0,183
"10116_1",0,183
"9841_4",0,183
"4512_9",1,183
"4853_2",1,183
"2664_4",0,183
"9966_10",-1,183
"5167_2",-1,183
"3894_2",-1,183
"3929_8",-1,183
"7165_10",1,183
"5451_8",0,183
"2947_4",0,183
"4611_10",-1,183
"5807_1",0,183
"9464_8",1,183
"3124_10",-1,183
"2705_4",-1,183
"12187_8",1,183
"12319_10",1,183
"9874_3",0,183
"3406_4",1,183
"2327_10",1,183
"605_10",1,183
"8080_4",0,183
"3074_10",1,183
"2499_3",0,183
"1013_1",-1,183
"11535_1",-1,183
"4118_7",-1,183
"10492_8",1,183
"2129_4",-1,183
"9814_10",-1,183
"10671_9",-1,183
"5980_10",-1,183
"2755_2",-1,183
"5461_2",0,183
"11979_1",-1,183
"8810_1",0,183
"852_7",1,183
"10961_4",-1,183
"7436_4",0,183
"11281_3",-1,183
"4208_3",-1,183
"8213_10",1,183
"9851_2",-1,183
"4713_7",1,183
"9528_1",-1,183
"3595_10",1,183
"5785_3",0,183
"10370_3",-1,183
"1980_3",-1,183
