id,sentiment,response_err_cnt
"12311_10",1,0
"8348_2",0,0
"5828_4",1,0
"7186_2",0,0
"12128_7",0,0
"2913_8",1,0
"4396_1",0,0
"395_2",0,0
"10616_1",0,0
"9074_9",1,0
"9252_3",0,0
"9896_9",1,0
"574_4",0,0
"11182_8",1,0
"11656_4",0,0
"2322_4",0,0
"8703_1",0,0
"7483_1",0,0
"6007_10",1,0
"12424_4",0,0
"4672_1",0,0
"10841_3",0,0
"8954_7",1,0
"7392_1",0,0
"10288_8",0,0
"5343_4",0,0
"4950_1",0,0
"9257_4",0,0
"8689_3",0,0
"4480_2",0,0
"9286_10",1,0
"12245_10",1,0
"7529_7",1,0
"4_4",0,0
"5299_2",1,0
"12077_8",1,0
"10701_2",0,0
"11579_1",0,0
"10993_1",0,0
"8913_1",0,0
"1350_3",1,0
"3804_2",0,0
"5025_3",0,0
"5170_8",1,0
"8225_8",1,0
"6427_7",0,0
"3165_3",0,0
"7902_9",1,0
"8208_3",0,0
"3577_8",0,0
"4865_1",0,0
"9063_3",0,0
"1106_1",0,0
"1117_9",1,0
"1050_4",1,0
"10755_9",1,0
"2729_8",1,0
"10072_10",1,0
"2904_7",0,0
"4584_2",0,0
"189_4",0,0
"6302_4",1,0
"8138_9",0,0
"1262_1",0,0
"2199_10",1,0
"6551_7",0,0
"8082_7",1,0
"4897_8",1,0
"7360_1",0,0
"11012_10",1,0
"12046_1",1,0
"2331_2",0,0
"8961_9",1,0
"751_7",1,0
"9884_10",1,0
"10016_8",1,0
"8023_10",1,0
"2628_1",0,0
"5832_1",0,0
"7302_1",0,0
"4501_3",0,0
"1121_7",1,0
"8334_3",0,0
"9789_10",0,0
"4230_10",1,0
"824_4",1,0
"6803_9",0,0
"3086_7",1,0
"1135_8",1,0
"10136_1",0,0
"11129_3",0,0
"2072_8",0,0
"9501_7",1,0
"319_10",1,0
"1693_7",1,0
"10886_1",0,0
"9406_8",1,0
"10376_10",1,0
"9902_1",0,0
"9938_8",0,0
"7080_9",1,0
"11944_8",0,0
"5249_1",0,0
"9599_2",0,0
"9620_1",0,0
"11244_1",0,0
"6841_10",1,0
"10050_4",1,0
"10512_9",1,0
"11327_3",0,0
"10681_8",0,0
"808_3",0,0
"546_7",1,0
"10765_1",0,0
"7189_9",1,0
"6005_9",1,0
"11915_9",1,0
"5740_10",1,0
"7097_10",1,0
"9573_10",1,0
"5084_4",0,0
"12332_7",0,0
"8154_1",0,0
"5610_1",0,0
"5323_9",0,0
"11034_8",1,0
"3977_2",0,0
"12380_7",1,0
"1737_8",1,0
"6030_9",1,0
"5918_7",1,0
"7061_9",1,0
"266_8",1,0
"1375_10",1,0
"8648_3",0,0
"10146_10",1,0
"4578_10",1,0
"4685_8",1,0
"11843_9",0,0
"5467_10",1,0
"10140_10",1,0
"7721_8",1,0
"11208_10",0,0
"1063_10",1,0
"8260_10",0,0
"3182_9",1,0
"2797_8",1,0
"7613_2",0,0
"11624_4",0,0
"4847_10",1,0
"10684_7",1,0
"6312_1",0,0
"4925_3",0,0
"4125_1",0,0
"2394_10",1,0
"12105_10",1,0
"7812_1",0,0
"1061_8",1,0
"9343_3",0,0
"7696_10",1,0
"9355_10",1,0
"782_9",1,0
"9882_10",1,0
"10642_10",1,0
"7410_2",0,0
"9591_4",0,0
"11902_3",0,0
"3495_7",1,0
"6733_1",0,0
"4552_1",0,0
"6722_1",0,0
"188_10",1,0
"5099_10",1,0
"10313_1",0,0
"6756_9",1,0
"6622_2",0,0
"4807_10",1,0
"7173_3",0,0
"11321_8",1,0
"7909_9",1,0
"8012_7",0,0
"8615_4",0,0
"8117_10",1,0
"1892_10",1,0
"4617_1",0,0
"1893_8",1,0
"5435_1",0,0
"162_3",0,0
"6516_10",1,0
"11588_7",0,0
"2006_1",0,0
"1594_4",0,0
"1472_1",0,0
"3647_1",0,0
"174_7",0,0
"5539_7",1,0
"3384_10",1,0
"3811_4",0,0
"4079_8",0,0
"1179_7",1,0
"3069_9",1,0
"3769_8",1,0
"9247_10",0,0
"10434_1",0,0
"1147_10",1,0
"5344_7",1,0
"8073_10",1,0
"7833_3",0,0
"8370_1",0,0
"9007_8",0,0
"6624_7",0,0
"6683_3",0,0
"12275_7",1,0
"11927_8",1,0
"1560_10",1,0
"1325_9",1,0
"3548_8",0,0
"607_1",0,0
"6702_7",1,0
"5702_3",0,0
"11345_8",1,0
"3428_4",1,0
"7209_9",1,0
"8425_8",1,0
"3087_1",0,0
"1119_8",1,0
"5715_3",0,0
"8645_1",0,0
"2149_3",0,0
"10403_10",1,0
"5628_1",0,0
"5570_10",1,0
"1613_3",0,0
"1454_4",0,0
"5094_3",0,0
"7982_1",0,0
"6894_2",0,0
"6554_1",0,0
"4721_3",0,0
"6904_4",0,0
"893_8",1,0
"4605_4",0,0
"11516_7",1,0
"11718_7",1,0
"5956_1",0,0
"7455_9",1,0
"6396_4",1,0
"1223_8",1,0
"8556_1",0,0
"6108_8",0,0
"11690_1",0,0
"3778_9",1,0
"3627_4",0,0
"8256_4",1,0
"533_1",0,0
"5235_4",0,0
"621_2",0,0
"5365_1",1,0
"8180_3",0,0
"7396_7",1,0
"9776_10",1,0
"8175_10",1,0
"3128_1",0,0
"4606_1",0,0
"6158_2",0,0
"3281_10",1,0
"4723_4",0,0
"11994_3",0,0
"7701_1",0,0
"103_3",0,0
"8908_10",1,0
"8876_1",0,0
"7519_9",0,0
"12456_8",1,0
"9514_8",1,0
"8680_8",0,0
"12402_10",1,0
"362_2",1,0
"9825_7",0,0
"2913_3",0,0
"7164_8",1,0
"11177_7",1,0
"5707_10",1,0
"8103_10",1,0
"6289_1",0,0
"11754_1",1,0
"11640_10",1,0
"9933_7",0,0
"185_10",1,0
"242_10",1,0
"9369_8",1,0
"7453_10",1,0
"7514_7",0,0
"10860_2",0,0
"8663_8",0,0
"9108_1",0,0
"7941_1",0,0
"10116_1",0,0
"9841_4",1,0
"4512_9",1,0
"4853_2",1,0
"2664_4",0,0
"9966_10",0,0
"5167_2",0,0
"3894_2",0,0
"3929_8",1,0
"7165_10",1,0
"5451_8",1,0
"2947_4",0,0
"4611_10",1,0
"5807_1",0,0
"9464_8",1,0
"3124_10",1,0
"2705_4",1,0
"12187_8",1,0
"12319_10",1,0
"9874_3",0,0
"3406_4",0,0
"2327_10",1,0
"605_10",1,0
"8080_4",0,0
"3074_10",1,0
"2499_3",0,0
"1013_1",0,0
"11535_1",0,0
"4118_7",0,0
"10492_8",1,0
"2129_4",0,0
"9814_10",0,0
"10671_9",1,0
"5980_10",1,0
"2755_2",0,0
"5461_2",0,0
"11979_1",0,0
"8810_1",0,0
"852_7",1,0
"10961_4",0,0
"7436_4",0,0
"11281_3",0,0
"4208_3",0,0
"8213_10",1,0
"9851_2",0,0
"4713_7",1,0
"9528_1",1,0
"3595_10",1,0
"5785_3",0,0
"10370_3",0,0
"1980_3",0,0
"8800_4",1,0
"4437_3",0,0
"28_3",0,0
"12171_1",0,0
"9359_3",0,0
"3831_9",1,0
"10962_7",0,0
"1500_9",1,0
"11470_10",1,0
"11843_3",0,0
"11200_4",0,0
"1067_1",0,0
"3333_1",0,0
"4487_4",0,0
"6428_1",0,0
"575_7",1,0
"10904_9",1,0
"11821_2",0,0
"11605_1",0,0
"1111_7",0,0
"10295_1",0,0
"1146_4",0,0
"2405_9",1,0
"11081_10",1,0
"2201_10",1,0
"4844_1",0,0
"11007_8",1,0
"6535_7",1,0
"2653_4",0,0
"8245_10",1,0
"9951_8",1,0
"6133_8",0,0
"10006_2",0,0
"7350_1",0,0
"4509_9",1,0
"948_1",0,0
"3987_1",0,0
"2947_10",1,0
"6041_3",1,0
"2946_1",0,0
"11967_4",0,0
"1185_10",1,0
"10323_2",0,0
"11706_2",0,0
"3663_1",0,0
"5602_10",1,0
"4870_10",1,0
"1994_1",0,0
"10807_7",0,0
"6871_3",0,0
"1175_2",0,0
"10919_7",1,0
"8127_10",1,0
"12497_4",1,0
"3274_1",1,0
"2568_3",0,0
"840_2",0,0
"5626_10",1,0
"7561_10",1,0
"4600_3",0,0
"3324_9",0,0
"8899_7",1,0
"5592_8",0,0
"12483_4",0,0
"7874_1",0,0
"5878_10",1,0
"4303_9",1,0
"9421_1",0,0
"10269_4",0,0
"10615_2",1,0
"2634_10",1,0
"7522_1",0,0
"9289_10",1,0
"4636_10",1,0
"1241_7",1,0
"9458_9",1,0
"11690_10",1,0
"7176_4",0,0
"6212_10",1,0
"6319_1",0,0
"5229_3",0,0
"466_9",1,0
"8693_2",0,0
"2952_10",1,0
"1128_1",0,0
"3975_10",1,0
"11365_10",1,0
"2074_9",0,0
"9768_10",1,0
"4895_1",0,0
"5726_10",1,0
"9993_10",1,0
"11319_2",0,0
"10561_2",0,0
"5455_8",0,0
"10684_3",0,0
"3652_3",0,0
"7825_1",0,0
"8806_1",0,0
"275_10",1,0
"2246_1",0,0
"11968_2",0,0
"2528_1",0,0
"8491_8",1,0
"13_1",1,0
"4530_8",1,0
"5207_3",0,0
"11648_10",0,0
"8260_1",0,0
"10730_10",1,0
"10402_3",0,0
"8077_1",0,0
"8598_8",1,0
"2809_3",0,0
"12490_10",0,0
"1447_9",1,0
"1605_3",0,0
"2311_4",0,0
"3235_9",1,0
"5725_10",1,0
"9025_10",1,0
"6049_9",1,0
"4803_10",1,0
"191_9",1,0
"420_3",0,0
"5238_2",0,0
"1280_9",1,0
"9408_4",0,0
"819_1",0,0
"1656_4",0,0
"9964_3",0,0
"10404_4",0,0
"12369_10",1,0
"6423_1",0,0
"9942_8",0,0
"1519_1",0,0
"100_10",1,0
"3216_10",1,0
"3909_10",1,0
"5034_7",1,0
"14_8",1,0
"5891_3",0,0
"8496_10",1,0
"7429_1",0,0
"9457_1",0,0
"9602_8",1,0
"4198_1",0,0
"154_2",0,0
"5070_2",0,0
"4207_8",0,0
"7758_8",1,0
"4439_9",1,0
