{'loss': 0.6925, 'grad_norm': 4.35638427734375, 'learning_rate': 9.9e-07, 'epoch': 0.02}
{'loss': 0.6926, 'grad_norm': 7.218709468841553, 'learning_rate': 1.9900000000000004e-06, 'epoch': 0.04}
{'loss': 0.675, 'grad_norm': 4.6063361167907715, 'learning_rate': 2.99e-06, 'epoch': 0.06}
{'loss': 0.406, 'grad_norm': 14.00337028503418, 'learning_rate': 3.990000000000001e-06, 'epoch': 0.08}
{'loss': 0.4045, 'grad_norm': 15.641388893127441, 'learning_rate': 4.9900000000000005e-06, 'epoch': 0.1}
{'loss': 0.3415, 'grad_norm': 0.08929433673620224, 'learning_rate': 4.965862068965518e-06, 'epoch': 0.12}
{'loss': 0.4013, 'grad_norm': 0.11509880423545837, 'learning_rate': 4.931379310344828e-06, 'epoch': 0.14}
{'loss': 0.4694, 'grad_norm': 0.0931776762008667, 'learning_rate': 4.896896551724138e-06, 'epoch': 0.16}
{'loss': 0.3682, 'grad_norm': 0.15944980084896088, 'learning_rate': 4.862413793103449e-06, 'epoch': 0.18}
{'loss': 0.4665, 'grad_norm': 0.15601994097232819, 'learning_rate': 4.827931034482759e-06, 'epoch': 0.2}
{'loss': 0.3274, 'grad_norm': 0.09608697146177292, 'learning_rate': 4.793448275862069e-06, 'epoch': 0.22}
{'loss': 0.4831, 'grad_norm': 0.6564195156097412, 'learning_rate': 4.75896551724138e-06, 'epoch': 0.24}
{'loss': 0.3673, 'grad_norm': 2.535128593444824, 'learning_rate': 4.72448275862069e-06, 'epoch': 0.26}
{'loss': 0.3427, 'grad_norm': 0.1667376458644867, 'learning_rate': 4.69e-06, 'epoch': 0.28}
{'loss': 0.4376, 'grad_norm': 0.7679343819618225, 'learning_rate': 4.6555172413793106e-06, 'epoch': 0.3}
{'loss': 0.369, 'grad_norm': 91.49805450439453, 'learning_rate': 4.621034482758621e-06, 'epoch': 0.32}
{'loss': 0.3581, 'grad_norm': 0.10785507410764694, 'learning_rate': 4.586551724137932e-06, 'epoch': 0.34}
{'loss': 0.3733, 'grad_norm': 0.08024852722883224, 'learning_rate': 4.5520689655172415e-06, 'epoch': 0.36}
{'loss': 0.3362, 'grad_norm': 0.18344618380069733, 'learning_rate': 4.517586206896552e-06, 'epoch': 0.38}
{'loss': 0.2738, 'grad_norm': 0.33113420009613037, 'learning_rate': 4.483103448275863e-06, 'epoch': 0.4}
{'loss': 0.3277, 'grad_norm': 542.570556640625, 'learning_rate': 4.448620689655172e-06, 'epoch': 0.42}
{'loss': 0.3353, 'grad_norm': 69.40093231201172, 'learning_rate': 4.414137931034483e-06, 'epoch': 0.44}
{'loss': 0.2689, 'grad_norm': 18.474153518676758, 'learning_rate': 4.379655172413794e-06, 'epoch': 0.46}
{'loss': 0.3218, 'grad_norm': 0.1735040843486786, 'learning_rate': 4.345172413793104e-06, 'epoch': 0.48}
{'loss': 0.3693, 'grad_norm': 0.053568825125694275, 'learning_rate': 4.310689655172414e-06, 'epoch': 0.5}
