id,sentiment,true_label
32326,1,1
27449,1,1
60108,1,1
23141,1,1
35226,1,0
66852,1,1
65093,1,1
47847,1,1
39440,0,0
56428,0,0
6798,1,1
6824,1,1
56503,1,1
51288,0,1
39024,1,1
58847,0,0
23316,1,1
45517,1,1
62148,0,0
6489,0,0
44292,1,1
41065,0,1
50320,1,1
44098,1,1
41602,0,0
37996,1,1
38917,1,1
42820,0,0
53050,0,0
13127,1,1
26284,1,1
17330,0,0
60141,1,0
14604,1,1
420,1,1
37500,1,1
66079,1,1
65755,0,1
22303,1,1
876,1,1
1553,1,1
4493,0,0
58533,1,1
5163,1,1
38402,1,1
41913,1,1
66538,0,0
39104,1,1
56833,0,0
65058,0,0
16706,0,0
27247,1,1
3475,1,1
3937,0,0
30370,1,0
18080,0,0
3852,1,1
18737,0,1
23300,0,0
8317,1,1
62484,0,0
53554,1,0
34031,1,1
63044,1,1
34856,0,0
57717,0,0
49851,0,0
26300,0,0
27245,1,1
43207,1,1
39230,1,0
53225,0,0
49068,0,0
46829,0,0
28585,0,0
58571,0,0
65607,0,0
25668,1,1
65262,1,1
47608,0,0
4706,1,1
45012,0,0
22629,1,1
17387,0,0
22810,1,1
36360,0,0
34364,1,1
34820,1,1
37084,1,1
50412,1,1
8298,1,1
49910,1,1
13632,0,0
63556,1,1
39091,0,0
374,1,1
21413,1,1
19503,1,1
62113,0,0
41591,1,1
43843,0,0
34833,0,0
16813,1,1
24340,1,1
4850,0,0
47667,0,0
55607,1,1
36794,0,0
24280,1,1
14807,0,0
25969,0,0
10391,1,1
3876,0,0
15644,1,1
64259,0,0
50456,0,0
13835,0,1
51289,1,1
25191,0,0
21058,0,0
233,0,0
22295,0,0
3216,0,0
31219,1,1
1435,0,0
15860,1,1
35337,0,0
43881,0,0
6534,1,1
55820,1,1
63582,0,0
34596,0,0
59592,1,1
53493,0,0
60778,0,0
41690,1,1
35063,0,0
66532,0,0
22016,0,0
38440,1,1
14477,1,1
45980,1,1
50827,0,0
5542,0,0
55666,0,0
35309,0,0
28469,0,0
21314,1,1
65056,1,1
24253,1,1
40205,0,1
62270,0,0
38908,0,1
13183,0,0
21372,1,1
3922,1,1
56498,1,1
52162,0,0
18946,0,0
23365,1,1
25791,1,1
29065,0,0
22168,1,1
59720,1,1
17347,0,1
26187,0,0
13867,0,0
50922,0,0
56456,1,1
32631,1,1
9008,1,1
11727,1,0
